analysis_id,analysis_name,database_id,total_fails,min_sample_size,max_sample_size,prop_with_calendar_time,prop_in_age_range,prop_with_age_at_first_obs,prop_with_ethnicity_criteria,prop_with_gender_criteria,prop_with_longitudinal_criteria,prop_with_race_criteria,prop_with_required_comparator_concepts,prop_with_required_domain,prop_with_required_outcome_concepts,prop_with_required_target_concepts,prop_meas_records_with_values,prop_with_procedure_criteria,prop_with_observation_criteria,prop_with_death_criteria
3,DPP4I main_SU main_3-point MACE,pmtx_202203_20220831,0,113907,307900,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,jmdc_2325_20230126,0,93462,186980,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,VA-OMOP_20230411,0,78282,527360,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,Japan_Claims_20230215,0,63264,183860,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,US_Hospital_20230130,0,62779,333060,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,truven_mdcd_2359_20230215,0,53891,249690,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,UK_IMRD_THIN_20221230,0,46223,86730,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,IQVIA_Germany_DA_20230124,0,34376,168770,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,France_LPD_20230118,0,17967,69870,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,LPD_Italy_20221226,0,15674,34560,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,UK_IMRD_EMIS_20230215,0,12232,28020,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,IQVIA_France_DA_20230201,0,8245,35460,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,AUSOM_20220228,0,7616,34770,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,JHM_OMOP_20230406,0,7300,19650,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,TMUCRD_20210406,0,7245,52740,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,CUIMC_20221214,0,7067,60920,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,LPD_Spain_20220704,0,6161,19530,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,IQVIA_Belgium_LPD_20221006,0,1773,5210,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,Keck_Upgraded_OMOP_v5_NA,0,1700,9120,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,Australia_EMR_20230317,0,586,4420,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,Japan_HIS_20220120,0,449,11790,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,RED_CDM_Tufts_20221005,0,113,1860,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,premier_2326_20230125,1,6525,914680,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,ktph_sg_NA,1,578,870,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,Klinicki_centar_Crne_Gore_20230101,2,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,cdm_cds,2,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,ccpp_v54_20210101,4,0,0,0,0,0,0,0,0,0,1,1,0,1,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,HKU-THIN,5,0,-12724481,1,0,NA,0,0,0,0,1,0,1,1,NA,NA,NA,NA
3,DPP4I main_SU main_3-point MACE,omop_20190828,NA,NA,900220,NA,0,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA
